id_autoria,id_artigo,id_pessoa,ordem_autoria,autor_correspondente
1,1,1,1,FALSE
2,1,2,2,FALSE
3,1,3,3,FALSE
4,2,4,1,FALSE
5,2,5,2,FALSE
6,2,6,3,FALSE
7,2,7,4,FALSE
8,3,8,1,FALSE
9,3,3,2,FALSE
10,4,9,1,FALSE
11,4,10,2,FALSE
12,4,11,3,FALSE
13,5,12,1,FALSE
14,5,13,2,FALSE
15,5,14,3,FALSE
16,6,15,1,FALSE
17,6,16,2,FALSE
18,6,17,3,FALSE
19,7,18,1,FALSE
20,7,19,2,FALSE
21,7,20,3,FALSE
22,7,10,4,FALSE
23,8,21,1,FALSE
24,8,22,2,FALSE
25,8,23,3,FALSE
26,8,24,4,FALSE
27,8,25,5,FALSE
28,9,26,1,FALSE
29,9,27,2,FALSE
30,9,28,3,FALSE
31,10,29,1,FALSE
32,10,30,2,FALSE
33,10,31,3,FALSE
34,10,32,4,FALSE
35,10,33,5,FALSE
36,11,34,1,FALSE
37,11,35,2,FALSE
38,11,36,3,FALSE
39,11,37,4,FALSE
40,11,38,5,FALSE
41,12,39,1,FALSE
42,12,40,2,FALSE
43,12,41,3,FALSE
44,13,42,1,FALSE
45,13,14,2,FALSE
46,14,43,1,FALSE
47,14,44,2,FALSE
48,14,45,3,FALSE
49,15,46,1,FALSE
50,15,47,2,FALSE
51,15,48,3,FALSE
52,16,49,1,FALSE
53,16,50,2,FALSE
54,17,51,1,FALSE
55,17,52,2,FALSE
56,17,53,3,FALSE
57,17,54,4,FALSE
58,18,55,1,FALSE
59,18,56,2,FALSE
60,18,57,3,FALSE
61,18,58,4,FALSE
62,19,59,1,FALSE
63,19,60,2,FALSE
64,20,61,1,FALSE
65,20,62,2,FALSE
66,20,63,3,FALSE
67,20,64,4,FALSE
68,21,65,1,FALSE
69,21,53,2,FALSE
70,22,66,1,FALSE
71,22,67,2,FALSE
72,22,68,3,FALSE
73,22,69,4,FALSE
74,22,70,5,FALSE
75,22,71,6,FALSE
76,22,72,7,FALSE
77,22,73,8,FALSE
78,23,66,1,FALSE
79,23,5,2,FALSE
80,23,74,3,FALSE
81,23,75,4,FALSE
82,23,76,5,FALSE
83,23,77,6,FALSE
84,23,7,7,FALSE
85,23,78,8,FALSE
86,24,79,1,FALSE
87,24,80,2,FALSE
88,24,81,3,FALSE
89,24,82,4,FALSE
90,24,83,5,FALSE
91,24,84,6,FALSE
92,24,85,7,FALSE
93,24,86,8,FALSE
94,25,87,1,FALSE
95,25,88,2,FALSE
96,25,89,3,FALSE
97,25,90,4,FALSE
98,25,91,5,FALSE
99,26,92,1,FALSE
100,26,93,2,FALSE
101,26,94,3,FALSE
102,26,95,4,FALSE
103,26,11,5,FALSE
104,26,96,6,FALSE
105,26,97,7,FALSE
106,26,10,8,FALSE
107,27,98,1,FALSE
108,27,99,2,FALSE
109,27,100,3,FALSE
110,27,101,4,FALSE
111,28,102,1,FALSE
112,28,103,2,FALSE
113,28,104,3,FALSE
114,29,105,1,FALSE
115,29,106,2,FALSE
116,29,107,3,FALSE
117,29,108,4,FALSE
118,29,7,5,FALSE
119,30,109,1,FALSE
120,30,110,2,FALSE
121,30,53,3,FALSE
122,31,111,1,FALSE
123,31,112,2,FALSE
124,32,113,1,FALSE
125,32,71,2,FALSE
126,32,114,3,FALSE
127,32,115,4,FALSE
128,32,116,5,FALSE
129,33,117,1,FALSE
130,33,118,2,FALSE
131,33,119,3,FALSE
132,33,10,4,FALSE
133,34,120,1,FALSE
134,34,121,2,FALSE
135,34,122,3,FALSE
136,34,123,4,FALSE
137,34,124,5,FALSE
138,35,125,1,FALSE
139,35,126,2,FALSE
140,35,127,3,FALSE
141,35,128,4,FALSE
142,35,129,5,FALSE
143,35,130,6,FALSE
144,36,79,1,FALSE
145,36,131,2,FALSE
146,36,81,3,FALSE
147,36,84,4,FALSE
148,36,82,5,FALSE
149,36,86,6,FALSE
150,37,132,1,FALSE
151,37,133,2,FALSE
152,37,119,3,FALSE
153,38,134,1,FALSE
154,38,53,2,FALSE
155,38,135,3,FALSE
156,38,136,4,FALSE
157,39,93,1,FALSE
158,39,137,2,FALSE
159,39,10,3,FALSE
160,40,113,1,FALSE
161,40,106,2,FALSE
162,40,139,3,FALSE
163,40,7,4,FALSE
164,40,71,5,FALSE
