id_pessoa,nome,instituicao
1,"Bruno Vargas Adorno","INPE"
2,"Lorien Nesbitt","University of British Columbia"
3,"Silvana Amaral","INPE"
4,"Pedro R. Andrade","INPE"
5,"Erick Teixeira Rodrigues","INPE"
6,"Rolf E. O. Simoes","OGH"
7,"Maria Isabel Sobral Escada","INPE"
8,"Isabel Adriana Chuizaca-Espinoza","INPE"
9,"Gabriel F. Costa","UFOP"
10,"Leonardo B. L. Santos","CEMADEN"
11,"Vander L. S. Freitas","UFOP"
12,"Victor Augusto L. Cruz","UFMG"
13,"Rodrigo Smarzaro","UFV"
14,"Clodoveu A. Davis Jr","UFMG"
15,"Anibal Evaristo Fernandes","UNIFEI"
16,"Antônio Carlos Zambroni de Souza","UNIFEI"
17,"Carlos Alberto Felgueiras","INPE"
18,"Candida C. S. de S. Leite","INPE"
19,"Rogerio C. de Oliveira Júnior","INPE"
20,"Liana O. Anderson","CEMADEN"
21,"Gesiel Rios Lopes","USP"
22,"Eric K. Tokuda","USP"
23,"Roberto F. da Silva","USP"
24,"Alexandre C. B. Delbem","USP"
25,"Joelcio Braga de Sousa ","Facid Wyden University Center"
26,"Luiz Gabriel Camilo Lucas","INPE"
27,"Thales Sehn Körting","INPE"
28,"Laercio Namikawa","INPE"
29,"Suzane Regina de Amorim Biscaia Machado","UFSC"
30,"Vanessa Lago Machado","IFSUL"
31,"Mariana Machado Garcez Duarte","ULB"
32,"Tarlis Tortelli Portela","IFPR"
33,"Ronaldo dos Santos Mello","UFSC"
34,"Aluizio Brito Maia","INPE"
35,"Evandro Jose da Silva","ITA"
36,"Ezequiel Silva Rocha","INPE"
37,"Claudia Maria de Almeida","INPE"
38,"Camilo Daleles Rennó","INPE"
39,"Henrique Margotte","UFPR"
40,"Aurora Pozo","UFPR"
41,"Carmem Hara","UFPR"
42,"Diego Henrique M. Matos","UFMG"
43,"Daniel Wander Ferreira Melo","INPE"
44,"Ana Lucia Bezerra Candeias","UFPE"
45,"Rafael Duarte Coelho dos Santos","INPE"
46,"Tiffany L. J. T. Mendonça","INPE"
47,"Ocione D. N. Filho","INPE"
48,"Namikawa, L. M.","INPE"
49,"Bruno Guerreiro Miranda","INPE"
50,"Fabio Furlan Gama","INPE"
51,"Victor Ferreira Almeida Mota","UFSJ"
52,"Gustavo Jose da Silva Castro","UFSJ"
53,"Marconi Arruda Pereira","UFSJ"
54," Carolina Ribeiro Xavier","UFSJ"
55,"Edgar Oliveira","IFCE"
56," Clayson Celes","UFES"
57," Carina T. Oliveira","IFCE"
58,"Reinaldo Braga","IFCE"
59,"Andre Estevam Costa Oliveira","INPE"
60,"Valdivino Alexandre de Santiago Junior","INPE"
61,"Bruno Zomignani Perciani","UFABC"
62,"Victor Fernandez Nascimento","UFABC"
63,"Vitor Vieira Vasconcelos","UFABC"
64,"Márcio de Souza Werneck","UFABC"
65,"Mario A. S. Pujatti","UFSJ"
66,"Mariane Souza Reis","INPE"
67,"Juan Doblas","GlobEO"
68,"Luiz Henrique Gusmao","INPE"
69,"Dayane Rafaela V. de Moraes","INPE"
70,"Cassiano Gustavo Messias","INPE"
71,"Sidnei Joao S. Sant’Anna","INPE"
72,"Stephane Mermoz ","GlobEO"
73,"Claudio Aparecido de Almeida","INPE"
74,"Emeli Gomes","UFSC"
75,"Eduarda Mantovani-Silva","UFSC"
76,"Andre Giles","UFSC"
77,"Josephine Réquillart","UFSC"
78,"Catarina Jakovac","UFSC"
79,"Júlio C. P. dos Santos","INPE"
80,"Bruno Rech","INPE"
81,"Daniel Andrade Maciel","INPE"
82,"Cláudio C. F. Barbosa","INPE"
83,"Áurea M. Ciotti","USP"
84,"Vitor S. Martins","GCER"
85,"Rejane Paulino","GCER"
86,"Evlyn M. L. M. Novo","INPE"
87,"Vanúcia Schumacher","INPE"
88,"Elisa Martins","INPE"
89,"Fábricio Galende","INPE"
90,"Fabiano Morelli","INPE"
91,"Italo Garrot","INPE"
92,"Catia S. N. Sepetauskas","INPE"
93,"Giovanni G. Soares","INPE"
94,"Felipe O. Simoyama","USP"
95,"Ricardo S. Oyarzabal","CEMADEN"
96,"Hugo S. P. Cardoso","UNEB"
